word,phonetic_symbol,word_attr,meanings,en_sentence1,cn_sentence1,en_sentence2,cn_sentence2,en_sentence3,cn_sentence3
defeat,"英 [dɪˈfi:t], 美 [dɪˈfit]","vt.,n.","击败，战胜；挫败；[法]宣告无效，作废；,战胜；失败；[法]废除；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",His guerrillas defeated the colonial army in 1954...,1954 年他领导的游击队打败了殖民军队。,"The NHL Stanley Cup was won by the Montreal Canadians, who defeated the Boston Bruins four games to one.",蒙特利尔加拿大人队以 4 比1战胜波士顿棕熊队，夺得了国家冰球联盟斯坦利杯。,The proposal was defeated by just one vote.,该提案仅以一票之差被否决。
sad,"英 [sæd], 美 [sæd]",adj.,悲哀的；糟糕的；可悲的；令人遗憾的,The relationship had been important to me and its loss left me feeling sad and empty...,这份感情对我很重要，失去它让我感到悲伤而又空虚。,I'm sad that Julie's marriage is on the verge of splitting up...,朱莉的婚姻濒临破裂，我为此感到难过。,"...a desperately humorous, impossibly sad novel...",极其幽默诙谐又令人无比感伤的小说
childhood,"英 [ˈtʃaɪldhʊd], 美 [ˈtʃaɪldˌhʊd]",n.,"童年，儿童时代；早期；,复数：
                                                            ",She had a happy childhood...,她曾有过一个幸福的童年。,He was remembering a story heard in childhood.,他在回忆儿时听过的一个故事。,,
sister,"英 [ˈsɪstə(r)], 美 [ˈsɪstɚ]","n.,adj.,v.","姐妹；（称志同道合者）姐妹；修女；护士,姐妹般的；同类型的；,如姐妹般相待；,复数：
                                                            ",His sister Sarah helped him.,他姐姐萨拉帮助了他。,"...Vanessa Bell, the sister of Virginia Woolf...",弗吉尼娅·伍尔夫的姐姐瓦妮莎·贝尔,Sister Francesca entered the chapel.,弗朗西丝卡修女走进了小教堂。
efficiency,"英 [ɪˈfɪʃnsi], 美 [ɪˈfɪʃənsi]",n.,"效率，效能；实力，能力；[物]性能；功效,复数：
                                                            ",There are many ways to increase agricultural efficiency in the poorer areas of the world.,有很多方法能够提高世界贫困地区的农业效率。,...energy efficiency.,能效,,
disappear,"英 [ˌdɪsəˈpɪə(r)], 美 [ˌdɪsəˈpɪr]",vi.,"不见，消失；不复存在，灭绝；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The black car drove away from them and disappeared...,那辆黑色轿车驶离了他们的视线。,Clive disappeared into a room by himself...,克莱夫独自一人进了屋。,...a Japanese woman who disappeared thirteen years ago...,一个 13 年前失踪的日本女人
joy,"英 [dʒɔɪ], 美 [dʒɔɪ]",n.,"高兴；喜悦；喜悦；成功,复数：
                                                            ",Salter shouted with joy.,索尔特欣喜地叫喊着。,...tears of joy.,喜悦的泪水,"One can never learn all there is to know about cooking, and that is one of the joys of being a chef...",钻研烹饪之道是永无止境的，这也是当厨师的乐趣之一。
comparison,"英 [kəmˈpærɪsn], 美 [kəmˈpærɪsən]",n.,"比较，对照；[语]比喻；比较级；,复数：
                                                            ",...a comparison of the British and German economies...,英国经济与德国经济的比较,Its recommendations are based on detailed comparisons between the public and private sectors...,建议是建立在对国营部门与私营部门进行详细比较的基础上的。,It is demonstrably an unfair comparison...,这样打比方显然不公平。
possess,"英 [pəˈzes], 美 [pəˈzɛs]",vt.,"拥有；掌握，懂得；主宰；缠住，迷住,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He was then arrested and charged with possessing an offensive weapon...,他随后被逮捕，并被控拥有攻击性武器。,He is said to possess a fortune of more than two-and-a-half-thousand million dollars.,据说他拥有超出25亿美元的财富。,"...individuals who are deemed to possess the qualities of sense, loyalty and discretion...",被认为具备了理性、忠诚和判断力的人
flesh,"英 [fleʃ], 美 [flɛʃ]","n.,v.","肉；肉体；果肉；皮肤,用肉喂养；长胖；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...maggots which eat away dead flesh.,食腐肉的蛆虫,...the pale pink flesh of trout and salmon.,淡粉色的鳟鱼和鲑鱼肉,...the warmth of her flesh.,她肌肤的温暖
grace,"英 [greɪs], 美 [ɡres]","n.,v.","恩泽；优雅；慈悲；魅力,使优美；惠赐；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He moved with the grace of a trained boxer...,他的动作带着一种训练有素的拳击手的风采。,Ballet classes are important for poise and grace.,芭蕾课可以很好地使人保持优雅的仪态。,The new King seemed to be carrying out his duties with grace and due decorum...,新国王在履行职责时看起来举止得体、端庄稳重。
liquid,"英 [ˈlɪkwɪd], 美 [ˈlɪkwɪd]","n.,adj.","液体；流音；,液体的；清澈的；（声音）流畅的；易转换成现款的,复数：
                                                            ",Drink plenty of liquid...,要大量饮水。,Boil for 20 minutes until the liquid has reduced by half...,煮20分钟，直到液体体积减半。,Wash in warm water with liquid detergent.,用洗衣液加温水洗。
rent,"英 [rent], 美 [rɛnt]","n.,vt.& vi.,adj.","租金；地租；（意见等的）分裂，分歧；（衣服等的）裂缝,出租；付地租；“rend”的过去式和过去分词；租借,撕碎的；分裂的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She rents a house with three other girls...,她和其他3个女孩合租一套房子。,He left his hotel in a rented car.,他开着一辆租来的车离开了酒店。,She rented rooms to university students.,她把房间租给了大学生。
extensive,"英 [ɪkˈstensɪv], 美 [ɪkˈstɛnsɪv]",adj.,广阔的，广大的；范围广泛的；[物]广延的；[逻]外延的,...an extensive tour of Latin America...,在拉丁美洲广泛游历,"When built, the palace and its grounds were more extensive than the city itself.",建成时，宫殿及其庭园比城市本身面积还要大。,Developments in South Africa receive extensive coverage in The Sunday Telegraph...,《星期日电讯报》全面报道了南非的发展。
ease,"英 [i:z], 美 [iz]","n.,vt.,vi.","轻松，舒适；容易；安逸；不拘束，自在,解除痛苦；减轻；延缓；松弛,缓解，减少；轻松前进；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Anne was intelligent and capable of passing her exams with ease.,安妮很聪明，能够轻松通过考试。,...the ease with which young people could find work.,年轻人找工作的轻松,"For ease of reference, only the relevant extracts of the regulations are included.",为了便于参照，仅摘录相关规则。
scientist,"英 [ˈsaɪəntɪst], 美 [ˈsaɪəntɪst]",n.,"科学家；科学工作者；,复数：
                                                            ",Scientists have collected more data than expected.,科学家们已经收集到了比预期更多的数据。,,,,
milk,"英 [mɪlk], 美 [mɪlk]","n.,vt.","奶；乳液；母乳；,挤奶；榨取；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He popped out to buy a pint of milk.,他匆匆出门去买一品脱牛奶。,"...basic foods such as meat, bread and milk.",诸如肉、面包和牛奶之类的主食,Farm-workers milked cows by hand.,农场工人用手挤牛奶。
heaven,"英 [ˈhevn], 美 [ˈhɛvən]",n.,"天；天堂；上帝；极乐,复数：
                                                            ",I believed that when I died I would go to heaven and see God.,我相信自己死后会升入天堂，见到上帝。,We went touring in Wales and Ireland. It was heaven...,我们去了威尔士和爱尔兰旅游。那里真是人间仙境。,I was in cinematic heaven.,我简直是到了观影者的天堂。
sympathy,"英 [ˈsɪmpəθi], 美 [ˈsɪmpəθi]",n.,"意气相投，同感；同情，同情心；慰问；和谐的一致,复数：
                                                            ",We expressed our sympathy for her loss...,我们对她的损失表示同情。,I have had very little help from doctors and no sympathy whatsoever...,我从医生那里没有得到什么帮助，也未获得丝毫同情。,I have some sympathy with this point of view...,我比较同意这个观点。
restaurant,"英 [ˈrestrɒnt], 美 [ˈrestrɑnt]",n.,"饭店；餐馆；饭馆；菜馆,复数：
                                                            ",They ate in an Italian restaurant in Forth Street...,他们在第四大街的一家意大利餐馆吃了饭。,We had dinner in the hotel's restaurant.,我们在这家宾馆的餐厅吃了晚饭。,,
rank,"英 [ræŋk], 美 [ræŋk]","n.,vt.& vi.,vt.,vi.,adj.","阶层，等级；军衔；次序，顺序；行列,排列，使成横排；把…分类；,排列；超过，高于；把…分等级；,位于；使成横排；抱怨；吹毛求疵，揭疮疤,讨厌的；极端的；繁茂的；恶臭的,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He eventually rose to the rank of captain...,他终于升职当上了船长。,The former head of counter-intelligence had been stripped of his rank and privileges.,反情报机构的前任长官被革职并剥夺了特权。,Each rank of the peerage was represented...,每个贵族阶级都有代表。
frequency,"英 [ˈfri:kwənsi], 美 [ˈfrikwənsi]",n.,"频繁性；[数][物]频率，次数；频率分布；,复数：
                                                            ",The frequency of Kara's phone calls increased rapidly...,卡拉的电话飞速增多。,The tanks broke down with increasing frequency.,坦克越来越频繁地熄火。,You can't hear waves of such a high frequency.,如此高频率的声波是无法听到的。
shade,"英 [ʃeɪd], 美 [ʃed]","n.,vt.,vi.","遮阳，遮棚；挡风物；玻璃罩；（画的）阴暗部分,遮蔽；险胜；加灯罩；画阴影于…之上,逐渐变化；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",In the mornings the sky appeared a heavy shade of mottled gray...,清晨，天空呈现出斑驳的深灰色。,The walls were painted in two shades of green.,墙壁是用深浅两种绿色油漆的。,Temperatures in the shade can reach forty-eight degrees celsius at this time of year...,"一年中的这个时间,背阴处的温度可达到 48 摄氏度。"
accuse,"英 [əˈkju:z], 美 [əˈkjuz]",v.,"指责，谴责；指控；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He was accusing my mum of having an affair with another man...,他指责我妈妈与另一个男人有染。,Talk things through in stages. Do not accuse or apportion blame.,把事情按部就班地讲清楚。不要责难或归罪于人。,Her assistant was accused of theft and fraud by the police...,她的助手被警方指控犯有盗窃和欺诈罪。
angry,"英 [ˈæŋgri], 美 [ˈæŋɡri]",adj.,生气的；愤怒的，发怒的；（颜色等）刺目的；（伤口等）发炎的,She had been very angry at the person who stole her new bike...,她很生气有人偷走了她的新自行车。,Are you angry with me for some reason?...,你是因为什么原因在生我的气吗？,"He was badly concussed, the glass leaving two angry cuts across his forehead.",他遭受了严重的脑震荡，脑门上留下的两道被玻璃划破的口子已经红肿。
necessity,"英 [nəˈsesəti], 美 [nəˈsɛsɪti]",n.,"必要（性）；（迫切）需要；必需品；自然规律,复数：
                                                            ",There is agreement on the necessity of reforms...,对改革的必要性已经达成了共识。,As soon as the necessity for action is over the troops must be withdrawn...,一旦军事行动的必要性不复存在，军队就必须撤出。,Water is a basic necessity of life.,生命离不开水。
loud,"英 [laʊd], 美 [laʊd]","adj.,adv.","响亮的，大声的，高声的；响亮的，洪亮的，高亢的；高声的，激烈的；刺眼的，太招摇的,大声地，高声地，响亮地；",Suddenly there was a loud bang...,忽然传来一声巨响。,His voice became harsh and loud...,他提高了嗓门，嗓音也刺耳起来。,Mr Adams' speech yesterday was very loud in condemnation of the media...,亚当斯先生在昨天的演讲中痛斥媒体。
knock,"英 [nɒk], 美 [nɑk]","n.,vi.,vt.","短促的敲打（声）；爆震声；敲击声；敲门（或窗等）声,猛烈敲击；与某物相撞；撞到了桌子；,（心）怦怦跳；把…撞击成（某种状态）；批评；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She went directly to Simon's apartment and knocked on the door...,她直奔西蒙的房间，敲了敲门。,Knock at my window at eight o'clock and I'll be ready...,8点钟敲我的窗，我会准备好的。,She accidentally knocked the tea tin off the shelf...,她不小心把架子上的茶叶罐碰了下来。
frighten,"英 [ˈfraɪtn], 美 [ˈfraɪtn]","vt.,vi.","使惊恐，使恐慌；吓走，赶走；,害怕，惊恐；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","He knew that Soli was trying to frighten him, so he smiled to hide his fear...",他知道索利是想吓唬他，所以他挤出笑容掩饰自己的恐惧。,Most children are frightened by the sight of blood.,大多数孩子见到血就害怕。,Fairground rides are intended to frighten the life out of you.,露天游乐场的飞车就是想把人吓丢了魂儿。
gold,"英 [gəʊld], 美 [goʊld]","n.,adj.","金，黄金；金色；金币；金饰品,金（制）的，含金的；金色的；金本位的；,复数：
                                                            ",...a sapphire set in gold...,镶嵌在黄金上的蓝宝石,The price of gold was going up.,黄金的价格在上涨。,We handed over all our gold and money.,我们将所有的金首饰和钱都交了出来。
lovely,"英 [ˈlʌvli], 美 [ˈlʌvli]","adj.,n.","可爱的；令人愉快的；亲切友好的；慷慨大方的,美女，美人，佳人；漂亮的东西；","You look lovely, Marcia...",你看上去真漂亮，马西娅。,He had a lovely voice...,他的声音很动听。,Mary! How lovely to see you!...,玛丽，见到你真是太高兴了！
solve,"英 [sɒlv], 美 [sɑlv]",vt.,"解决；解答；解释；清偿（债务）,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Their domestic reforms did nothing to solve the problem of unemployment...,他们的国内改革未能解决失业问题。,"We may now be able to get a much better idea of the true age of the universe, and solve one of the deepest questions of our origins.",现在，我们也许能够更加清楚地了解宇宙生成的年代，并且解答关于人类起源最为深奥的问题之一。,,
row,"英 [rəʊ], 美 [roʊ]","n.,vt.","行，排；划船；吵闹；路，街,划船；使…成排；与…进行划船比赛；〈口〉争吵，吵闹,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a row of pretty little cottages...,一排漂亮的小村舍,Several men are pushing school desks and chairs into neat rows.,几个人正挪动学校的桌椅，将它们排整齐。,She was sitting in the front row.,她坐在前排。
permanent,"英 [ˈpɜ:mənənt], 美 [ˈpɜrmənənt]","adj.,n.","永久（性）的，永恒的，不变的，耐久的，持久的，经久的；稳定的；常务的，常设的；,电烫发，烫发；,复数：
                                                            ",Heavy drinking can cause permanent damage to the brain...,酗酒能造成永久性大脑损伤。,...a permanent solution to the problem...,该问题一劳永逸的解决办法,...a permanent state of tension...,长久以来的紧张局势
confuse,"英 [kənˈfju:z], 美 [kənˈfjuz]","vt.,vi.","使困窘；使混乱；使困惑；使更难于理解,使糊涂；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Great care is taken to avoid confusing the two types of projects...,大家非常谨慎，以免把这两类项目弄混。,I can't see how anyone could confuse you with another!,我不明白怎么会有人把你和另外一个人搞混！,German politics surprised and confused  him.,德国政治既令他惊讶，又让他困惑不解。
abroad,"英 [əˈbrɔ:d], 美 [əˈbrɔd]","adv.,adj.,n.","到国外，在海外；广为流传地；,往国外的；,海外，异国；","I would love to go abroad this year, perhaps to the South of France.",我今年很想出国，可能是去法国南部。,...public opposition here and abroad...,国内外公众的反对,There'll still be a feeling abroad that this change has to be recognised.,人们还会普遍觉得这项变革早晚得接受。
salary,"英 [ˈsæləri], 美 [ˈsæləri, ˈsælri]","n.,vt.","薪水，薪金，薪俸；,给…加薪；给…薪水；发…薪水；付…薪水,复数：
                                                            ",...the lawyer was paid a huge salary...,那个律师薪水很高。,The government has decided to increase salaries for all civil servants.,政府已决定给所有公务员加薪。,,
grave,"英 [ɡreɪv], 美 [greɪv]","adj.,adv.,n.,vt.","重大的，重要的；严重的；[音乐]沉重的；（颜色等）朴素的,沉重地，庄重地；极慢地；,坟墓，墓穴；埋葬…的地方；下场；死亡,雕刻；铭记；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They used to visit her grave twice a year.,他们以前每年去她的墓前凭吊两次。,...drinking yourself to an early grave...,纵酒而自折其寿,Most men would rather go to the grave than own up to feelings of dependency.,大多数男人宁死都不愿承认有依赖感。
photograph,"英 [ˈfəʊtəgrɑ:f], 美 [ˈfoʊtəgræf]","n.,vt.& vi.","照片，相片；,为…拍照；拍照，摄影；成为拍照对象，在照片上显得；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He wants to take some photographs of the house...,他想给这幢房子拍一些照片。,Her photograph appeared on the front page of The New York Times.,她的照片登在了《纽约时报》的头版上。,She photographed the children...,她给孩子们拍了照。
advice,"英 [ədˈvaɪs], 美 [əd'vaɪs]",n.,劝告，忠告；（商业）通知；建议；（政治，外交上的）报导，报告,Don't be afraid to ask for advice about ordering the meal...,点餐时可以大胆征求意见。,Your community officer can give you advice on how to prevent crime in your area...,社区工作人员能就如何预防社区内犯罪提供一些忠告。,We are taking advice on legal steps to recover the money...,我们正在就追回该款项所需的法律程序咨询律师。
wound,"英 [waʊnd], 美 [waʊnd]","n.,v.","创伤；伤口；伤害；,伤；伤害；“wind”的过去式和过去分词；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The wound is healing nicely...,伤口愈合得很好。,Six soldiers are reported to have died from their wounds.,据报道，有6名士兵因伤而亡。,"A bomb exploded in a hotel, killing six people and wounding another five...",一枚炸弹在一家旅馆爆炸，造成6人死亡，5人受伤。
virtue,"英 [ˈvɜ:tʃu:], 美 [ˈvɜrtʃu]",n.,"美德；德行；价值；长处,复数：
                                                            ",Virtue is not confined to the Christian world...,善行并不是仅限于基督教世界。,She could have established her own innocence and virtue easily enough.,她本可以轻易地证实自己纯真善良的品性。,His virtue is patience...,耐心是他的美德。
noise,,,,,,,,,
queen,"英 [kwi:n], 美 [kwin]","n.,vt.","女王；王后；杰出女性；（纸牌中的）王后， （国际象棋中的）后,立…为王后（或女王）；使…成为国王的妻子；[国际象棋]使（兵）成为后；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...Queen Victoria...,维多利亚女王,She met the Queen last week.,上周她受到了女王的接见。,The king and queen had fled.,国王和王后都逃之夭夭了。
dare,"英 [deə(r)], 美 [der]","vt.,vi.,aux.,n.","敢；敢做；激（某人做某事）；问（某人）有没有胆量（做某事）,敢；敢于；大胆；无畏于,敢，竟敢；,激将，挑战；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Since he was stuck in a lift a year ago he hasn't dared to get back into one...,自从一年前被困在电梯里之后，他就再也没敢乘过电梯。,Most people hate Harry but they don't dare to say so...,大多数人都对哈里敢怒不敢言。,"Over coffee, she lit a cigarette, her eyes daring him to comment...",喝咖啡时，她点燃了一支烟，用挑衅的眼神看着他，谅他也不敢吭声。
attract,"英 [əˈtrækt], 美 [əˈtrækt]","vt.,vi.","吸引；诱惑；引起…的好感（或兴趣）；,具有吸引力；引人注意；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The Cardiff Bay project is attracting many visitors...,加的夫海湾项目吸引了众多游客。,Warm weather has attracted the flat fish close to shore...,煦暖的气候将比目鱼引到了近海。,"He wasn't sure he'd got it right, although the theory attracted him by its logic...",该理论的逻辑性吸引了他，但他不能确定自己的理解是否正确。
expensive,"英 [ɪkˈspensɪv], 美 [ɪkˈspɛnsɪv]",adj.,昂贵的，花钱多的；豪华的；,Wine's so expensive in this country...,葡萄酒在这个国家非常昂贵。,I get very nervous because I'm using a lot of expensive equipment.,因为正在使用很多昂贵的设备，所以我非常紧张。,,
pink,"英 [pɪŋk], 美 [pɪŋk]","adj.,n.,vt.","粉红色的；淡红色的；略带左翼政治观点的；与同性恋者有关的,粉红色；典范；香石竹；顶点，极度,刺、扎；打出小孔图案；戳；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...pink lipstick.,粉红色的口红,...white flowers edged in pink.,带粉边的白花,She went pink again as she remembered her mistake.,想起自己的错误，她又脸红了。
numerous,"英 [ˈnju:mərəs], 美 [ˈnumərəs]",adj.,很多的，许多的；数量庞大的数量庞大的；数不清的；,Sex crimes were just as numerous as they are today...,当时性犯罪和现在一样多。,"Despite numerous attempts to diet, her weight soared.",尽管多次尝试节食，她的体重仍然飙升了。,,
gate,"英 [geɪt], 美 [ɡet]","n.,vt.","门；闸门；登机门；入场费,给…装大门；[电子学] 电波传送；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He opened the gate and started walking up to the house.,他打开大门，迈步朝房子走去。,Passengers with hand luggage can go straight to the departure gate to check in there.,携带手提行李的乘客可直接到登机口办理登机手续。,...9 Palace Gate.,王宫门9号
extra,"英 [ˈekstrə], 美 ['ekstrə]","adj.,n.,adv.","额外的，补充的，附加的；特大的，特别的；,附加物，额外的事物；临时演员；号外；上等产品，上品,额外地；格外地，特别地；,复数：
                                                            ",Police warned motorists to allow extra time to get to work...,警方告诫驾车者出门上班要留出富余时间。,Extra staff have been taken on to cover busy periods...,额外雇用了一些员工来应付繁忙时期。,For foreign orders postage is extra...,国外订单邮费另计。
sorry,"英 [ˈsɒri], 美 [ˈsɑri]",adj.,对不起的；无价值的，低等的；遗憾的；感到伤心的,'We're all talking at the same time.' — 'Yeah. Sorry.'...,“我们俩在同时讲话。”——“噢，抱歉。”,Sorry I took so long...,我耽误了这么长时间，真是对不起。,She was very sorry about all the trouble she'd caused...,她为自己引起了那么多麻烦而感到非常抱歉。
shut,"英 [ʃʌt], 美 [ʃʌt]","vt.& vi.,adj.","关闭；合上；打烊；闭上,关闭；停业；合拢；关门,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Just make sure you shut the gate after you...,进来后务必关上大门。,The screen door shut gently.,纱门轻轻关上了。,Lucy shut her eyes so she wouldn't see it happen.,露西闭上了眼睛，这样就不会看到它发生了。
chicken,"英 [ˈtʃɪkɪn], 美 [ˈtʃɪkən]","n.,adj.,vi.","鸡；鸡肉；胆小鬼；懦夫,胆怯的；幼小的；胆小的；,以畏缩的方式去做，失去勇气；在最后一刻因胆怯而退出了；,复数：
                                                            过去式：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Lionel built a coop so that they could raise chickens and have a supply of fresh eggs.,莱昂内尔做了个鸡笼，打算养些鸡，吃上新鲜鸡蛋。,...free-range chickens.,散养的鸡,I'm scared of the dark. I'm a big chicken.,我怕黑，是个十足的胆小鬼。
holy,"英 [ˈhəʊli], 美 [ˈhoʊli]",adj.,神圣的；值得尊敬的，值得推崇的；圣洁的，圣徒般的；宗教的,"To them, as to all Christians, this is a holy place.",对他们以及所有基督徒来说，这里是一处圣地。,"...Yom Kippur, the holiest day in the Jewish calendar.",赎罪日，犹太历中最神圣的日子,"The Indians think of him as a holy man, a combination of doctor and priest.",印度人把他视为圣人，他既是医生又是僧侣。
crime,"英 [kraɪm], 美 [kraɪm]","n.,v.","罪行，犯罪；罪恶；,指控犯罪；判定犯罪；处罚军事犯；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He and Lieutenant Cassidy were checking the scene of the crime...,他和卡西迪中尉正在勘查犯罪现场。,Mr Steele has committed no crime and poses no danger to the public...,斯蒂尔先生没有犯罪，并未对公众构成危害。,A language is a finely tuned instrument which it is a crime to damage...,语言是一种精心调试的乐器，破坏它就是一种罪过。
prompt,"英 [prɒmpt], 美 [prɑmpt]","adj.,v.,n.,adv.","敏捷的；迅速的；立刻的；准时的,促使；导致；鼓励；提示,激励；提示符；提词；提示,准时地；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Japan's recession has prompted consumers to cut back on buying cars...,日本经济的不景气使得消费者在购买车辆上减少了开支。,The need for villagers to control their own destinies has prompted a new plan.,村民们想要掌握自己的命运，这促成了一项新的计划。,"'Go on,' the therapist prompted him...",“接着说，”医生鼓励他道。
wooden,"英 [ˈwʊdn], 美 [ˈwʊdn]",adj.,木制的；木头的；僵硬的；呆板的,...the shop's bare brick walls and faded wooden floorboards.,商店裸露的砖墙和褪色的木地板,,,,
forgive,"英 [fəˈgɪv], 美 [fərˈgɪv]","vt.& vi.,vt.","原谅； 饶恕； 对不起；请原谅 ,免除；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","Hopefully she'll understand and forgive you, if she really loves you...",如果她真的爱你的话，希望她会理解并原谅你。,She'd find a way to forgive him for the theft of the money...,她会让自己原谅他偷钱的行为的。,"Looking at the figures, you could be forgiven for thinking the recession is already over...",看看这些数字，难怪你会觉得经济衰退已经结束了。
stair,"英 [steə(r)], 美 [ster]",n.,"楼梯；（楼梯的）一级；,复数：
                                                            ",Nancy began to climb the stairs...,南希开始爬楼梯。,We walked up a flight of stairs...,我们上了一段楼梯。,I followed her down the stair.,我跟着她下了楼梯。
visitor,"英 [ˈvɪzɪtə(r)], 美 [ˈvɪzɪtɚ]",n.,"访问者；参观者；游客；候鸟,复数：
                                                            ",The other day we had some visitors from Switzerland...,前几天我们接待了几位来自瑞士的参观者。,As a student I lived in Oxford but was a frequent visitor to Belfast.,求学时我住在牛津，但常常去贝尔法斯特。,,
republic,"英 [rɪˈpʌblɪk], 美 [rɪˈpʌblɪk]",n.,"共和国；共和政体；（成员具有平等权利的）团体；,复数：
                                                            ","In 1918, Austria became a republic.",1918年，奥地利成为共和国。,...the Baltic republics.,波罗的海沿岸诸共和国,,
wing,"英 [wɪŋ], 美 [wɪŋ]","n.,vi.,vt.","翅膀，翼；飞翔；派系，派别；,飞行；,为…装上翼；使或使能飞行；飞过；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The bird flapped its wings furiously...,鸟儿使劲地拍打翅膀。,She saw the occasional glimmer of a moth's wings.,她看见蛾子的翅膀偶尔会泛光。,We were given an office in the empty west wing.,给我们在空置的大楼西翼分了一间办公室。
pile,"英 [paɪl], 美 [paɪl]","n.,vt.,vi.","桩；一堆；绒头；摞,堆起；堆叠；放置；装入,蜂拥，拥挤；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a pile of sand...,一堆沙子,...a little pile of crumbs...,一小堆面包屑,...a pile of boxes...,一叠盒子
violence,"英 [ˈvaɪələns], 美 [ˈvaɪələns]",n.,暴力，强暴，暴虐；猛烈，激烈；歪曲（事实），曲解（意义）；冒渎，不敬,Twenty people were killed in the violence...,有20人在这一暴力事件中丧生。,They threaten them with violence.,他们对其进行暴力威胁。,"'There's no need,' Amy said, with sudden violence...",“没有必要，”埃米突然激愤地说。
steel,"英 [sti:l], 美 [stil]","n.,vt.,adj.","钢，钢铁；钢制品；兵器；钢铁工业,包上或镀上钢；使坚定；,钢制的；钢铁业的；坚强的；[色彩]青灰色的,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...steel pipes.,钢管,...the iron and steel industry...,钢铁工业,...a three-month study of European steel...,对欧洲钢铁工业为期 3 个月的考察研究
anger,"英 [ˈæŋgə(r)], 美 [ˈæŋɡɚ]","n.,vt.& vi.,vi.","生气；愤怒；怒气；愤懑,激怒；使发怒；[医]〈旧，非正式〉使（伤口）炎或疼痛；恼火,发怒；恼火；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He cried with anger and frustration...,他愤怒而又沮丧得哭了起来。,Ellen felt both despair and anger at her mother.,埃伦对她的母亲感到既绝望又生气。,The decision to allow more offshore oil drilling angered some Californians.,允许进行更多近海石油钻探的决定激怒了一些加利福尼亚人。
confusion,"英 [kənˈfju:ʒn], 美 [kənˈfjuʒən]",n.,"混乱；混淆；困惑；,复数：
                                                            ",There's still confusion about the number of casualties...,伤亡人数依然不明。,Omissions in my recent article must have caused confusion.,我最近一篇文章中的几处省略肯定造成了困惑。,There was confusion when a man fired shots...,一个男子开了几枪，场面一片混乱。
